,S2,S2_conf
"('Sea Surface temperature', 'Maturation rate')",0.33020258908269734,0.26476405053797325
"('Sea Surface temperature', 'Larval input')",0.3331034966699419,0.25982913168900656
"('Sea Surface temperature', 'Juveniles')",0.43054818629249914,0.24730333048437636
"('Sea Surface temperature', 'Octopus abundance')",0.3332040681225174,0.2532396470125811
"('Sea Surface temperature', 'Spawning females')",0.41858585722779673,0.2569726837121098
"('Sea Surface temperature', 'Individual catch per effort')",0.2625237284517686,0.24319513945205076
"('Sea Surface temperature', 'Fisher effort')",0.33020258908269656,0.22682450467865042
"('Sea Surface temperature', 'Fisher landings')",0.33259486173492,0.22951782510024066
"('Sea Surface temperature', 'Fisher profit')",0.3324998073853954,0.18738939801763638
"('Sea Surface temperature', 'Total landings')",0.3276149325131945,0.2604821283805648
"('Sea Surface temperature', 'Total number of fishers')",0.2439272390365802,0.27128527618215775
"('Sea Surface temperature', 'Enforcement of number of fishers')",0.2505974173126385,0.27875089354631993
"('Sea Surface temperature', 'Formalized fishers')",0.33020258908269723,0.25176376095753306
"('Sea Surface temperature', 'Unformalized fishers')",0.33517791231832594,0.23114272359741142
"('Sea Surface temperature', 'Roving bandits')",0.32771492746488334,0.2769735027552374
"('Sea Surface temperature', 'Octopus landing price')",0.33495099002469936,0.22210914670424664
"('Sea Surface temperature', 'Landing price of other benthic resources')",0.3347870366175146,0.2451048375292441
"('Sea Surface temperature', 'Fisher compliance (e.g. ban period & >1kg)')",0.323406599663101,0.2667210255320976
"('Sea Surface temperature', 'Off-season octopus landed')",0.34003630021851855,0.24550709318422353
"('Sea Surface temperature', 'Underweight octopus landed')",0.32732631081666785,0.23551618015211515
"('Sea Surface temperature', 'Illegal/informal trade (buyers & sellers)')",0.3335307291905138,0.27323142675838236
"('Sea Surface temperature', 'Product stockpilling by processing plants')",0.4373454132254695,0.19220722192952355
"('Sea Surface temperature', 'Enforcement of ban period & >1kg')",0.32015794931931263,0.25686795183537964
"('Sea Surface temperature', 'Enforcement of trade')",0.33348049279463765,0.30950201528587035
"('Sea Surface temperature', 'Domestic market demand')",0.42097971496011033,0.19253117561287642
"('Sea Surface temperature', 'Domestic retail price')",0.3330035244368115,0.22585250120868028
"('Sea Surface temperature', 'International marke demand (for Chilean-peruvian octopus)')",0.3232306880938304,0.2798136431868409
"('Sea Surface temperature', 'Lower quality (processing)')",0.3279287489855345,0.2455128639620642
"('Sea Surface temperature', 'Lower quality (species)')",0.32792874898553437,0.22577573191031927
"('Sea Surface temperature', 'Low and volatile landings')",0.3370241093741858,0.2625963917231327
"('Sea Surface temperature', 'Thermal anomalies (El Niño - La Niña)')",0.401377146428344,0.23366883766936855
"('Sea Surface temperature', 'Use of selective gear')",0.3277362561523649,0.22925191296327205
"('Sea Surface temperature', 'Harvest spawning females')",0.3354919037488736,0.22854125344168477
"('Sea Surface temperature', 'Landings with bad practices')",0.32766507878722384,0.2490210958291826
"('Sea Surface temperature', 'Debt')",0.32798297007070093,0.2737298637615791
"('Sea Surface temperature', 'Financial inclusion')",0.258140018475195,0.23916249947988896
"('Sea Surface temperature', 'Dependency on informal financial services')",0.3302025890826965,0.24490527685344524
"('Sea Surface temperature', 'Operating expenses')",0.33656105119512436,0.2547399163024217
"('Sea Surface temperature', 'Distance traveled during fishing trips')",0.33020258908269773,0.24107100874660706
"('Sea Surface temperature', 'Wealth')",0.4078052002169434,0.27369757405318085
"('Sea Surface temperature', 'Socio-economic status')",0.3278015006219627,0.22845297598357678
"('Sea Surface temperature', 'Temporal discounting')",0.32775101668392786,0.2635383490565042
"('Sea Surface temperature', 'Invest in the future')",0.3279003762447089,0.2589543349883853
"('Sea Surface temperature', ""Fishers' concern towards sustainability"")",0.33290445070260716,0.20627602365146094
"('Sea Surface temperature', 'Collective actions')",0.32765077933408987,0.2248836230471838
"('Sea Surface temperature', 'Knowledge')",0.3380070458971726,0.21435249493921155
"('Sea Surface temperature', 'Awareness')",0.3381573408765093,0.22337237861856968
"('Sea Surface temperature', 'Information for improving management')",0.23459066923979605,0.25507772476899593
"('Maturation rate', 'Larval input')",-0.13999662356656914,0.24487973895985135
"('Maturation rate', 'Juveniles')",-0.10416109626685285,0.285683372836015
"('Maturation rate', 'Octopus abundance')",-0.18927678976630868,0.2866419946569442
"('Maturation rate', 'Spawning females')",-0.12818830949457818,0.26454689402740955
"('Maturation rate', 'Individual catch per effort')",-0.07486751680517759,0.21504297449651896
"('Maturation rate', 'Fisher effort')",-0.14725541234634854,0.25874806023662256
"('Maturation rate', 'Fisher landings')",-0.1379261953022824,0.2527572005785635
"('Maturation rate', 'Fisher profit')",-0.12818830949457788,0.24384755123155122
"('Maturation rate', 'Total landings')",-0.11765510201926721,0.2555817453145401
"('Maturation rate', 'Total number of fishers')",-0.15917556189271514,0.26314047910608984
"('Maturation rate', 'Enforcement of number of fishers')",-0.0775574486268322,0.22793108670783163
"('Maturation rate', 'Formalized fishers')",-0.13831448166812663,0.29104663672674075
"('Maturation rate', 'Unformalized fishers')",-0.12818830949457774,0.2594995963102101
"('Maturation rate', 'Roving bandits')",-0.11806213732102866,0.2602679633945634
"('Maturation rate', 'Octopus landing price')",-0.13785263143117604,0.27795763612200836
"('Maturation rate', 'Landing price of other benthic resources')",-0.10952704755858006,0.2584423255664541
"('Maturation rate', 'Fisher compliance (e.g. ban period & >1kg)')",-0.1558517820744621,0.2880586577598742
"('Maturation rate', 'Off-season octopus landed')",-0.12818830949457682,0.25199544683031017
"('Maturation rate', 'Underweight octopus landed')",-0.08135607357908173,0.26373893007791266
"('Maturation rate', 'Illegal/informal trade (buyers & sellers)')",-0.11464092044933658,0.2739606896354567
"('Maturation rate', 'Product stockpilling by processing plants')",-0.07367191764185203,0.2568300487529204
"('Maturation rate', 'Enforcement of ban period & >1kg')",-0.10093011356821462,0.2642012602372592
"('Maturation rate', 'Enforcement of trade')",-0.11484541063818518,0.28626238008882315
"('Maturation rate', 'Domestic market demand')",-0.11699092760240401,0.2534255658588548
"('Maturation rate', 'Domestic retail price')",-0.1851951657318553,0.25810611446867093
"('Maturation rate', 'International marke demand (for Chilean-peruvian octopus)')",-0.11872846585605845,0.26357251418023275
"('Maturation rate', 'Lower quality (processing)')",-0.174467305307562,0.2765582219762561
"('Maturation rate', 'Lower quality (species)')",-0.1652115061449652,0.24964795562248646
"('Maturation rate', 'Low and volatile landings')",-0.17446730530756155,0.2848468328410423
"('Maturation rate', 'Thermal anomalies (El Niño - La Niña)')",-0.17345709078305976,0.28466915633583884
"('Maturation rate', 'Use of selective gear')",-0.12818830949457755,0.2413197302026516
"('Maturation rate', 'Harvest spawning females')",-0.12818830949457766,0.25224201163189214
"('Maturation rate', 'Landings with bad practices')",-0.15917556189271442,0.26688299496403045
"('Maturation rate', 'Debt')",-0.12818830949457768,0.2557486868210449
"('Maturation rate', 'Financial inclusion')",-0.1281883094945775,0.23089863411307182
"('Maturation rate', 'Dependency on informal financial services')",-0.128188309494578,0.24230997346740596
"('Maturation rate', 'Operating expenses')",-0.11956081213610162,0.25563316633159716
"('Maturation rate', 'Distance traveled during fishing trips')",-0.1197639309192765,0.279040155198766
"('Maturation rate', 'Wealth')",-0.1281883094945777,0.2809956475014667
"('Maturation rate', 'Socio-economic status')",-0.12818830949457805,0.24977639272754315
"('Maturation rate', 'Temporal discounting')",-0.08827123391150285,0.23764815753302923
"('Maturation rate', 'Invest in the future')",-0.12818830949457755,0.25995362681199524
"('Maturation rate', ""Fishers' concern towards sustainability"")",-0.11719022367921444,0.24369996423841736
"('Maturation rate', 'Collective actions')",-0.08663914592105035,0.2539532697191406
"('Maturation rate', 'Knowledge')",-0.07524081263080899,0.22262382964094646
"('Maturation rate', 'Awareness')",-0.08501459932694605,0.24303517217611426
"('Maturation rate', 'Information for improving management')",-0.14035061931245463,0.24717213181053155
